track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553
LALA,Myke Towers,1,2023,3,23,1474
vampire,Olivia Rodrigo,1,2023,6,30,1397
Cruel Summer,Taylor Swift,1,2019,8,23,7858
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133
Sprinter,"Dave, Central Cee",2,2023,6,1,2186
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090
Columbia,Quevedo,1,2023,7,7,714
fukumean,Gunna,1,2023,5,15,1096
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953
